show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description,user_rating_score,number_of_reviews
s10,movie,The Queen's Gambit,,United States,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s48,tv show,Black Mirror,Christopher Nolan,United Kingdom,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s1,Movie,The Irishman,,United States,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s25,tv show,BoJack Horseman,Christopher Nolan,United States,,2006,TV-PG,100 min,Comedies,Description of show.,,
s41,TV Show,Bird Box,Greta Gerwig,United Kingdom,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s8,TV Show,BoJack Horseman,Greta Gerwig,United States,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s32,TV Show,You,Christopher Nolan,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s48,movie,Black Mirror,Quentin Tarantino,United Kingdom,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s10,Stand-Up,BoJack Horseman,Sofia Coppola,United States,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s5,movie,Black Mirror,Ava DuVernay,United Kingdom,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s9,Stand-Up,Ozark,Noah Baumbach,United States,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s20,Movie,You,Greta Gerwig,United States,1-Aug-18,2010,TV-14,90 min,Comedies,Description of show.,,155
s7,tv show,The Witcher,Greta Gerwig,Poland,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s32,Stand-Up,The Umbrella Academy,,Canada,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s45,Movie,Stranger Things,Greta Gerwig,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s35,TV Show,Black Mirror,,United Kingdom,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s21,TV Show,Money Heist,Sofia Coppola,Spain,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s36,Stand-Up,Money Heist,David Fincher,Spain,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s14,tv show,The Irishman,,United States,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s15,movie,Stranger Things,Greta Gerwig,United States,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s36,movie,BoJack Horseman,Sofia Coppola,United States,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s6,TV Show,Narcos,Quentin Tarantino,Colombia,,2009,TV-14,,Documentaries,Description of show.,,317
s40,Documentary,Black Mirror,Christopher Nolan,United Kingdom,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s36,tv show,Ozark,Alfonso Cuarón,United States,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s15,TV Show,Money Heist,Alfonso Cuarón,Spain,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s29,Stand-Up,Black Mirror,Quentin Tarantino,United Kingdom,,2018,,,Dramas,Description of show.,9,820
s8,movie,Roma,,Mexico,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s44,TV Show,The Queen's Gambit,Ava DuVernay,United States,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s18,TV Show,You,,United States,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s18,Movie,Breaking Bad,David Fincher,United States,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s3,movie,You,Greta Gerwig,United States,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s41,Documentary,Black Mirror,Martin Scorsese,United Kingdom,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s24,Stand-Up,Ozark,Greta Gerwig,United States,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s7,Movie,The Umbrella Academy,Noah Baumbach,,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s10,Stand-Up,Dark,Martin Scorsese,Germany,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s45,TV Show,Black Mirror,Noah Baumbach,United Kingdom,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s24,Documentary,The Irishman,Ava DuVernay,United States,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s46,tv show,BoJack Horseman,Greta Gerwig,United States,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s50,Stand-Up,The Irishman,Quentin Tarantino,United States,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s21,Stand-Up,Dark,,Germany,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s46,tv show,Narcos,Alfonso Cuarón,Colombia,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s35,Movie,The Queen's Gambit,Alfonso Cuarón,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s21,Movie,Bird Box,,,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s2,Documentary,BoJack Horseman,,United States,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s10,Movie,Bridgerton,Greta Gerwig,United Kingdom,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s33,Movie,Black Mirror,Ava DuVernay,United Kingdom,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s23,tv show,The Witcher,Martin Scorsese,Poland,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s17,TV Show,The Irishman,Martin Scorsese,United States,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s28,tv show,Money Heist,Noah Baumbach,Spain,,2002,tv-ma,,Documentaries,Description of show.,9,212
s42,tv show,Bird Box,Greta Gerwig,United Kingdom,15-Jul-20,2001,TV-PG,90 min,Action & Adventure,Description of show.,,545
s31,tv show,Bird Box,Martin Scorsese,India,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s9,Documentary,House of Cards,Sofia Coppola,United States,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s35,Documentary,Money Heist,Greta Gerwig,Spain,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s7,Movie,House of Cards,Noah Baumbach,United States,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s31,TV Show,Money Heist,Noah Baumbach,Spain,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s37,tv show,The Irishman,Noah Baumbach,United States,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s13,tv show,The Crown,Ava DuVernay,United Kingdom,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s25,movie,Marriage Story,Bong Joon-ho,,,2006,TV-PG,100 min,Comedies,Description of show.,,
s50,Stand-Up,The Crown,Martin Scorsese,United Kingdom,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s47,TV Show,The Queen's Gambit,Christopher Nolan,,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s29,TV Show,Ozark,Noah Baumbach,United States,,2018,,,Dramas,Description of show.,9,820
s2,Stand-Up,You,Alfonso Cuarón,United States,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s26,tv show,Bridgerton,,United Kingdom,,2002,,45 min,Comedies,Description of show.,6.6,227
s40,movie,Roma,Quentin Tarantino,,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s3,Documentary,The Crown,Christopher Nolan,United Kingdom,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s15,tv show,The Witcher,Noah Baumbach,Poland,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s41,tv show,Stranger Things,,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s45,Stand-Up,Narcos,Bong Joon-ho,Colombia,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s40,tv show,The Irishman,Martin Scorsese,United States,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s24,movie,Roma,,Mexico,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s19,Movie,Marriage Story,Christopher Nolan,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s22,movie,The Crown,Bong Joon-ho,United Kingdom,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s49,movie,House of Cards,Alfonso Cuarón,United States,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s34,Documentary,The Crown,David Fincher,United Kingdom,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s12,tv show,BoJack Horseman,Martin Scorsese,United States,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s23,tv show,Money Heist,Alfonso Cuarón,Spain,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s36,Stand-Up,The Umbrella Academy,Christopher Nolan,Canada,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s2,tv show,The Witcher,,Poland,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s29,Documentary,You,,,,2018,,,Dramas,Description of show.,9,820
s19,Movie,BoJack Horseman,Greta Gerwig,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s33,tv show,Ozark,,United States,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s6,tv show,Breaking Bad,Noah Baumbach,United States,,2009,TV-14,,Documentaries,Description of show.,,317
s36,movie,The Queen's Gambit,,United States,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s24,Movie,The Queen's Gambit,Ava DuVernay,United States,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s21,movie,Dark,,Germany,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s1,tv show,Dark,Ava DuVernay,Germany,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s12,Documentary,Roma,Ava DuVernay,Mexico,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s13,Stand-Up,The Irishman,Greta Gerwig,United States,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s46,Stand-Up,BoJack Horseman,Sofia Coppola,United States,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s30,Documentary,The Umbrella Academy,Sofia Coppola,Canada,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s27,tv show,Bridgerton,Quentin Tarantino,United Kingdom,15-Jul-20,2018,pg13,45 min,Children & Family Movies,Description of show.,8.1,
s32,Movie,Stranger Things,David Fincher,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s13,tv show,Bird Box,Greta Gerwig,,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s14,tv show,The Queen's Gambit,Greta Gerwig,United States,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s49,TV Show,The Queen's Gambit,,,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s14,tv show,The Crown,Christopher Nolan,United Kingdom,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s11,tv show,You,Martin Scorsese,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s25,Documentary,Money Heist,Sofia Coppola,Spain,,2006,TV-PG,100 min,Comedies,Description of show.,,
s14,Stand-Up,Roma,Noah Baumbach,,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s29,Documentary,Bird Box,,United Kingdom,,2018,,,Dramas,Description of show.,9,820
s22,Documentary,House of Cards,Alfonso Cuarón,United States,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s5,tv show,House of Cards,,United States,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s15,movie,You,Alfonso Cuarón,United States,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s13,Documentary,The Umbrella Academy,,Canada,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s43,TV Show,Money Heist,Greta Gerwig,Spain,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s23,Documentary,The Queen's Gambit,Greta Gerwig,United States,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s40,Documentary,The Witcher,Martin Scorsese,Poland,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s37,TV Show,The Crown,,United Kingdom,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s33,TV Show,The Queen's Gambit,Quentin Tarantino,United States,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s41,Documentary,Marriage Story,Greta Gerwig,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s2,TV Show,The Witcher,Christopher Nolan,Poland,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s27,TV Show,Breaking Bad,Ava DuVernay,United States,15-Jul-20,2018,pg13,45 min,Children & Family Movies,Description of show.,8.1,
s32,Stand-Up,Bridgerton,Ava DuVernay,United Kingdom,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s45,movie,You,David Fincher,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s12,movie,Bird Box,Quentin Tarantino,United Kingdom,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s49,Documentary,BoJack Horseman,Greta Gerwig,United States,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s44,Movie,Stranger Things,Martin Scorsese,United States,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s43,Documentary,The Umbrella Academy,Bong Joon-ho,Canada,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s30,movie,The Witcher,Alfonso Cuarón,Poland,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s18,Documentary,Narcos,Alfonso Cuarón,Colombia,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s4,Movie,Breaking Bad,Greta Gerwig,United States,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s3,Documentary,Marriage Story,Sofia Coppola,United States,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s7,movie,Stranger Things,Quentin Tarantino,United States,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s13,movie,Marriage Story,Ava DuVernay,United States,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s29,Movie,You,Christopher Nolan,United States,,2018,,,Dramas,Description of show.,9,820
s45,tv show,You,,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s11,Movie,The Umbrella Academy,Noah Baumbach,Canada,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s28,Stand-Up,The Umbrella Academy,Greta Gerwig,Canada,,2002,tv-ma,,Documentaries,Description of show.,9,212
s40,tv show,Ozark,Noah Baumbach,United States,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s38,TV Show,Bridgerton,,United Kingdom,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s47,Documentary,The Irishman,Noah Baumbach,United States,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s8,movie,Money Heist,Greta Gerwig,Spain,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s5,movie,Black Mirror,David Fincher,,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s36,Documentary,Mindhunter,Quentin Tarantino,United States,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s35,TV Show,The Irishman,Martin Scorsese,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s16,Movie,Breaking Bad,Noah Baumbach,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s4,Stand-Up,Stranger Things,,United States,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s9,tv show,House of Cards,Alfonso Cuarón,United States,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s7,movie,House of Cards,Bong Joon-ho,United States,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s42,Movie,The Umbrella Academy,,Canada,15-Jul-20,2001,TV-PG,90 min,Action & Adventure,Description of show.,,545
s40,movie,Ozark,Noah Baumbach,United States,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s33,movie,Stranger Things,Quentin Tarantino,United States,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s23,TV Show,Bridgerton,Noah Baumbach,United Kingdom,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s19,tv show,Ozark,Greta Gerwig,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s36,TV Show,The Witcher,Greta Gerwig,Poland,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s39,Movie,BoJack Horseman,Alfonso Cuarón,United States,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s25,Movie,The Witcher,Noah Baumbach,Poland,,2006,TV-PG,100 min,Comedies,Description of show.,,
s14,tv show,The Queen's Gambit,Ava DuVernay,,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s10,Stand-Up,The Crown,David Fincher,United Kingdom,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s50,movie,Bridgerton,,United Kingdom,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s23,tv show,Stranger Things,Sofia Coppola,United States,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s7,Documentary,Bridgerton,,United Kingdom,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s22,Movie,Money Heist,Alfonso Cuarón,Spain,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s33,Movie,Bird Box,,United States,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s41,Documentary,Ozark,Christopher Nolan,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s45,Stand-Up,Ozark,Greta Gerwig,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s46,Documentary,You,David Fincher,United States,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s41,movie,The Crown,Noah Baumbach,United Kingdom,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s15,Stand-Up,Ozark,Sofia Coppola,United States,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s4,movie,The Crown,Noah Baumbach,United Kingdom,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s38,Documentary,The Umbrella Academy,David Fincher,,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s44,Stand-Up,Stranger Things,,United States,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s1,TV Show,Marriage Story,Sofia Coppola,United States,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s21,Stand-Up,The Witcher,Christopher Nolan,Poland,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s43,Movie,Ozark,Christopher Nolan,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s35,TV Show,Bird Box,David Fincher,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s35,Stand-Up,You,Martin Scorsese,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s47,Stand-Up,Dark,Ava DuVernay,Germany,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s46,movie,Marriage Story,Greta Gerwig,United States,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s4,TV Show,Roma,Quentin Tarantino,Mexico,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s26,Documentary,Bird Box,Ava DuVernay,United States,,2002,,45 min,Comedies,Description of show.,6.6,227
s43,Documentary,Money Heist,Ava DuVernay,Spain,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s34,movie,Stranger Things,Ava DuVernay,United States,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s28,tv show,BoJack Horseman,,United States,,2002,tv-ma,,Documentaries,Description of show.,9,212
s19,Documentary,Black Mirror,Quentin Tarantino,United Kingdom,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s48,Movie,Ozark,Ava DuVernay,United States,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s39,Documentary,Roma,,Mexico,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s22,Movie,Marriage Story,Alfonso Cuarón,United States,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s22,Stand-Up,House of Cards,Martin Scorsese,United States,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s39,tv show,Stranger Things,David Fincher,United States,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s37,TV Show,The Crown,,United Kingdom,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s39,Documentary,The Crown,Ava DuVernay,United Kingdom,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s32,TV Show,Roma,Alfonso Cuarón,Mexico,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s18,Movie,Dark,Christopher Nolan,Germany,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s26,Documentary,The Umbrella Academy,Sofia Coppola,Canada,,2002,,45 min,Comedies,Description of show.,6.6,227
s8,TV Show,Black Mirror,Alfonso Cuarón,United Kingdom,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s40,movie,Narcos,Ava DuVernay,Colombia,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s39,movie,Bridgerton,Alfonso Cuarón,United Kingdom,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s1,TV Show,Black Mirror,Christopher Nolan,United Kingdom,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s10,Documentary,The Crown,Bong Joon-ho,United Kingdom,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s34,tv show,Black Mirror,Alfonso Cuarón,United Kingdom,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s1,Stand-Up,Narcos,Quentin Tarantino,Colombia,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s46,movie,Black Mirror,Christopher Nolan,United Kingdom,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s15,tv show,Bridgerton,Quentin Tarantino,United Kingdom,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s27,movie,The Umbrella Academy,Sofia Coppola,Canada,15-Jul-20,2018,pg13,45 min,Children & Family Movies,Description of show.,8.1,
s29,Stand-Up,The Irishman,Sofia Coppola,United States,,2018,,,Dramas,Description of show.,9,820
s19,tv show,The Umbrella Academy,David Fincher,Canada,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s17,Documentary,You,Alfonso Cuarón,United States,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s29,Documentary,Breaking Bad,Bong Joon-ho,United States,,2018,,,Dramas,Description of show.,9,820
s4,tv show,Dark,Alfonso Cuarón,,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s13,tv show,The Irishman,Quentin Tarantino,United States,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s37,Documentary,Dark,Bong Joon-ho,Germany,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s25,TV Show,The Irishman,Quentin Tarantino,United States,,2006,TV-PG,100 min,Comedies,Description of show.,,
s19,movie,Bird Box,Bong Joon-ho,India,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s38,movie,The Queen's Gambit,Martin Scorsese,United States,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s45,tv show,The Witcher,Alfonso Cuarón,Poland,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s36,Movie,House of Cards,Alfonso Cuarón,United States,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s42,movie,Breaking Bad,Ava DuVernay,,15-Jul-20,2001,TV-PG,90 min,Action & Adventure,Description of show.,,545
s19,Stand-Up,Bird Box,Ava DuVernay,India,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s23,movie,BoJack Horseman,Quentin Tarantino,United States,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s20,TV Show,The Crown,Bong Joon-ho,United Kingdom,1-Aug-18,2010,TV-14,90 min,Comedies,Description of show.,,155
s19,TV Show,The Crown,Bong Joon-ho,United Kingdom,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s5,Documentary,Marriage Story,Greta Gerwig,United States,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s8,TV Show,The Irishman,Alfonso Cuarón,United States,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s24,movie,BoJack Horseman,Alfonso Cuarón,United States,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s11,tv show,The Queen's Gambit,Noah Baumbach,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s7,TV Show,Narcos,Sofia Coppola,Colombia,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s47,Stand-Up,The Crown,Quentin Tarantino,United Kingdom,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s50,Movie,Bridgerton,David Fincher,United Kingdom,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s22,TV Show,Bird Box,Sofia Coppola,United States,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s9,tv show,The Crown,Bong Joon-ho,United Kingdom,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s12,Stand-Up,You,,United States,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s46,tv show,Roma,Greta Gerwig,Mexico,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s6,Movie,Black Mirror,Ava DuVernay,,,2009,TV-14,,Documentaries,Description of show.,,317
s21,Stand-Up,Breaking Bad,Quentin Tarantino,United States,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s8,tv show,The Witcher,Ava DuVernay,Poland,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s10,Stand-Up,Roma,Bong Joon-ho,Mexico,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s39,movie,The Irishman,Noah Baumbach,United States,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s45,movie,The Irishman,Ava DuVernay,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s1,Documentary,The Umbrella Academy,,Canada,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s44,TV Show,Stranger Things,Noah Baumbach,United States,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
